Simulation,elapsed_time
0,67.5676474571228
1,66.66170358657837
2,123.63252711296082
3,122.6319625377655
4,124.1360411643982
5,123.97444128990173
6,123.22458505630493
7,123.3269248008728
8,122.87876152992249
9,122.47844505310059
10,122.73095917701721
11,115.44228935241699
12,66.09175038337708
13,118.71873760223389
14,120.31588339805603
15,120.87055158615112
16,120.31912302970886
17,120.34267926216125
18,116.4597635269165
19,122.0320303440094
20,117.83370637893677
21,120.28494572639465
22,118.47172236442566
23,66.35968852043152
24,117.1577980518341
25,126.91376209259033
26,127.08137702941895
27,126.97703623771667
28,128.27925944328308
29,126.4259672164917
30,127.62590837478638
31,126.1556453704834
32,124.13885855674744
33,123.95772576332092
34,67.61652874946594
35,127.79547119140625
36,125.31237244606018
37,125.02709102630615
38,134.6877896785736
39,134.35557293891907
40,135.28083205223083
41,139.89998388290405
42,134.91307759284973
43,135.3951232433319
44,130.66171979904175
45,66.6557891368866
46,67.33901166915894
47,122.77414870262146
48,124.0714316368103
49,122.62761211395264
