Simulation,elapsed_time
0,1.4724299907684326
1,1.4674718379974365
2,1.432229995727539
3,1.4636564254760742
4,1.483633041381836
5,1.463390827178955
6,1.547109842300415
7,1.3988502025604248
8,1.3384597301483154
9,1.3565056324005127
10,1.3415825366973877
11,1.3227097988128662
12,1.4689393043518066
13,1.3207550048828125
14,1.3375840187072754
15,1.3500657081604004
16,1.3315730094909668
17,1.4033350944519043
18,1.3359034061431885
19,1.3476672172546387
20,1.3689775466918945
21,1.345667839050293
22,1.3354620933532715
23,1.461768388748169
24,1.3365833759307861
25,1.3490798473358154
26,1.3404114246368408
27,1.3577156066894531
28,1.3500678539276123
29,1.333897590637207
30,1.3467059135437012
31,1.4011297225952148
32,1.334937572479248
33,1.3297169208526611
34,1.4731371402740479
35,1.3654365539550781
36,1.3531794548034668
37,1.3649537563323975
38,1.4039506912231445
39,1.336665153503418
40,1.3386459350585938
41,1.3446738719940186
42,1.3577604293823242
43,1.3308117389678955
44,1.3603270053863525
45,1.474412202835083
46,1.4566965103149414
47,1.6822211742401123
48,1.4553511142730713
49,1.498960018157959
