Simulation,elapsed_time
0,2167.9973316192627
1,2318.6293621063232
2,2184.6224036216736
3,2131.394420862198
4,2138.359726667404
5,2158.0644125938416
6,2115.3992137908936
7,2212.754290819168
8,2142.284153699875
9,2154.0339436531067
10,2119.0730113983154
11,2155.298982143402
12,2202.097984790802
13,2192.7504258155823
14,2206.251268386841
15,2202.8074893951416
16,2150.9265389442444
17,2180.672661304474
18,2154.049038887024
19,2157.067488193512
20,2179.293420314789
21,2173.269822359085
22,2226.3063592910767
23,2194.460530757904
24,2162.02636051178
25,2183.1286582946777
26,2639.0076701641083
27,2689.01789021492
28,2660.029998064041
29,2648.322684764862
30,2661.745589494705
31,2664.967591524124
32,2700.9184653759003
33,2697.8831491470337
34,2178.284693002701
35,2651.425358772278
36,2668.407933950424
37,2656.2616288661957
38,2687.2392745018005
39,2728.702088356018
40,2757.6471903324127
41,2895.995528459549
42,2777.3970663547516
43,2702.470019340515
44,2701.1845483779907
45,2182.962516784668
46,2315.0219881534576
47,2173.313403367996
48,2269.435525894165
49,2134.7828240394592
