Simulation,elapsed_time
0,443.69404458999634
1,450.3670799732208
2,452.1069643497467
3,457.2234756946564
4,448.99470496177673
5,448.2209098339081
6,449.35032057762146
7,456.2134506702423
8,450.4864253997803
9,453.8605284690857
10,454.3564031124115
11,451.0336730480194
12,449.7081115245819
13,445.5462291240692
14,448.29074001312256
15,453.72987389564514
16,451.72442626953125
17,451.3206036090851
18,461.536408662796
19,467.85396027565
20,448.46159291267395
21,459.84244871139526
22,451.33142590522766
23,447.67153334617615
24,449.4699156284332
25,446.1332440376282
26,447.9080157279968
27,451.1868498325348
28,449.95500659942627
29,449.7946536540985
30,466.70430397987366
31,450.94268798828125
32,452.77343702316284
33,445.9614882469177
34,444.02916169166565
35,463.76205706596375
36,455.5244491100311
37,451.4893672466278
38,448.824200630188
39,460.25258922576904
40,446.4151015281677
41,509.08962988853455
42,502.95796394348145
43,511.58659863471985
44,521.1073832511902
45,447.6835150718689
46,449.67945671081543
47,447.90727615356445
48,446.94900393486023
49,443.01331663131714
