Data,Seed,TestProportion,CandidateProportion,SelectorType,ModelType,UniqueErrorsInput,n_estimators,regularization,RashomonThresholdType,RashomonThreshold,Type,Partition,Time,Memory,JobName,Output
Iris,2,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,2IS_PLA0.0,Iris/RandomForestClassification/Raw/2IS_PLA0.0.pkl
Iris,2,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,2IS_UA0.025,Iris/TreeFarms/Raw/2IS_UA0.025.pkl
Iris,3,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,3IS_UA0.025,Iris/TreeFarms/Raw/3IS_UA0.025.pkl
Iris,3,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,3IS_PLA0.0,Iris/RandomForestClassification/Raw/3IS_PLA0.0.pkl
Iris,3,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,3IS_RFA0.0,Iris/RandomForestClassification/Raw/3IS_RFA0.0.pkl
Iris,3,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,3IS_DA0.025,Iris/TreeFarms/Raw/3IS_DA0.025.pkl
Iris,4,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,4IS_RFA0.0,Iris/RandomForestClassification/Raw/4IS_RFA0.0.pkl
Iris,4,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,4IS_DA0.025,Iris/TreeFarms/Raw/4IS_DA0.025.pkl
Iris,4,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,4IS_UA0.025,Iris/TreeFarms/Raw/4IS_UA0.025.pkl
Iris,4,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,4IS_PLA0.0,Iris/RandomForestClassification/Raw/4IS_PLA0.0.pkl
Iris,5,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,5IS_UA0.025,Iris/TreeFarms/Raw/5IS_UA0.025.pkl
Iris,5,0.2,0.8,PassiveLearning,RandomForestClassificationFunction,1,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,5IS_PLA0.0,Iris/RandomForestClassification/Raw/5IS_PLA0.0.pkl
Iris,5,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,5IS_RFA0.0,Iris/RandomForestClassification/Raw/5IS_RFA0.0.pkl
Iris,5,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,5IS_DA0.025,Iris/TreeFarms/Raw/5IS_DA0.025.pkl
Iris,6,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,1,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,6IS_UA0.025,Iris/TreeFarms/Raw/6IS_UA0.025.pkl
Iris,6,0.2,0.8,TreeEnsembleQBCFunction,TreeFarmsFunction,0,100,0.01,Adder,0.025,Classification,short,0:59:00,1000M,6IS_DA0.025,Iris/TreeFarms/Raw/6IS_DA0.025.pkl
Iris,6,0.2,0.8,TreeEnsembleQBCFunction,RandomForestClassificationFunction,0,100,0.01,Adder,0.0,Classification,short,00:59:00,1000,6IS_RFA0.0,Iris/RandomForestClassification/Raw/6IS_RFA0.0.pkl
