Simulation,elapsed_time
0,143.14245080947876
1,142.22869849205017
2,137.01705312728882
3,139.64885711669922
4,137.7350835800171
5,137.51697635650635
6,140.19790744781494
7,137.28219842910767
8,143.647292137146
9,138.71679186820984
10,138.7095890045166
11,140.54917216300964
12,140.58186841011047
13,140.43660926818848
14,141.2738721370697
15,139.96585416793823
16,138.49676632881165
17,136.94120526313782
18,137.58574867248535
19,136.14455437660217
20,137.12910437583923
21,137.75467443466187
22,137.9589867591858
23,139.8351490497589
24,137.94181060791016
25,138.1239733695984
26,136.86608624458313
27,139.2468385696411
28,138.13390588760376
29,136.51658368110657
30,139.66501832008362
31,137.80024218559265
32,137.45328736305237
33,138.93041253089905
34,139.35599040985107
35,136.483318567276
36,138.09413528442383
37,143.34575033187866
38,137.0746488571167
39,137.1620581150055
40,136.98914241790771
41,144.0951280593872
42,136.19976687431335
43,140.515278339386
44,143.9797077178955
45,139.7102870941162
46,137.1119682788849
47,138.29246068000793
48,139.10444474220276
49,140.15396571159363
