Simulation,elapsed_time
0,5.709794998168945
1,5.749254941940308
2,5.633677005767822
3,5.6856677532196045
4,5.757796287536621
5,5.733477830886841
6,5.729503154754639
7,5.754456996917725
8,5.615290880203247
9,5.735593557357788
10,5.655297756195068
11,5.79191517829895
12,5.6785290241241455
13,5.666999578475952
14,5.7684266567230225
15,5.643585681915283
16,5.814120054244995
17,5.632423162460327
18,5.69002628326416
19,5.759237766265869
20,5.68296217918396
21,5.814244508743286
22,5.780479907989502
23,5.733566999435425
24,5.698349237442017
25,5.697429656982422
26,5.686593055725098
27,5.668569326400757
28,5.579418659210205
29,5.559238910675049
30,5.523871421813965
31,5.343198537826538
32,5.4489381313323975
33,5.504207611083984
34,5.710582494735718
35,5.537416696548462
36,5.4557037353515625
37,5.424246549606323
38,5.5507237911224365
39,5.397248268127441
40,5.402381658554077
41,5.651403188705444
42,5.735598564147949
43,5.719930410385132
44,5.6086106300354
45,5.536875009536743
46,5.702601194381714
47,5.695874452590942
48,5.7214274406433105
49,5.763825416564941
