Simulation,elapsed_time
0,67.86845111846924
1,67.89325976371765
2,110.7505943775177
3,110.60438537597656
4,109.88707709312439
5,110.72859191894531
6,110.55900073051453
7,110.68994998931885
8,111.83162951469421
9,110.54100775718689
10,110.63549590110779
11,110.82403945922852
12,67.64984130859375
13,113.91731095314026
14,110.03459525108337
15,112.3400354385376
16,111.77057909965515
17,111.28832674026489
18,111.69595694541931
19,110.11729145050049
20,113.46955251693726
21,112.15065407752991
22,110.27358293533325
23,68.58889508247375
24,114.17190766334534
25,112.3357880115509
26,133.0529351234436
27,133.29760670661926
28,132.99936819076538
29,132.57421278953552
30,132.09659337997437
31,133.48780918121338
32,137.1247959136963
33,131.60612964630127
34,68.6303768157959
35,134.20205426216125
36,134.8387131690979
37,131.9861831665039
38,132.3373076915741
39,143.2568838596344
40,150.81285500526428
41,141.65352416038513
42,139.99424958229065
43,142.0614881515503
44,144.4110677242279
45,69.3059663772583
46,69.8529999256134
47,69.62557053565979
48,109.7224588394165
49,110.94799160957336
