Simulation,elapsed_time
0,132.80381846427917
1,132.999680519104
2,132.98695373535156
3,129.60865449905396
4,131.12827682495117
5,130.83898305892944
6,132.90787887573242
7,132.01558804512024
8,133.40576171875
9,135.82586359977722
10,130.96958708763123
11,131.13364601135254
12,138.2452163696289
13,129.60579419136047
14,131.78272223472595
15,131.27871012687683
16,131.4873287677765
17,128.97280478477478
18,130.44916605949402
19,129.35843014717102
20,131.23621439933777
21,136.75972080230713
22,131.45219492912292
23,133.034010887146
24,131.15995955467224
25,131.51952528953552
26,131.21154713630676
27,133.9551510810852
28,135.82606720924377
29,131.99414539337158
30,132.86543941497803
31,132.97552847862244
32,134.53208589553833
33,132.39948320388794
34,135.24923825263977
35,133.59305429458618
36,137.51482510566711
37,139.20644807815552
38,130.34116768836975
39,131.28941822052002
40,131.57219290733337
41,130.3856303691864
42,130.42213916778564
43,137.36872005462646
44,139.62272763252258
45,134.45533871650696
46,132.1511754989624
47,133.41649508476257
48,132.8775017261505
49,130.38979506492615
