Simulation,elapsed_time
0,204.4081084728241
1,197.60933303833008
2,203.6215579509735
3,201.9901955127716
4,205.29360008239746
5,210.13519430160522
6,211.00743341445923
7,204.44399428367615
8,207.94034576416016
9,210.11033129692078
10,210.13917422294617
11,204.63956713676453
12,202.59538054466248
13,202.26680731773376
14,201.75294303894043
15,204.8003876209259
16,202.78923773765564
17,202.72824335098267
18,202.00785946846008
19,203.01104092597961
20,202.31888604164124
21,200.80921006202698
22,204.6478235721588
23,205.52773547172546
24,202.6033477783203
25,202.91809916496277
26,204.9656116962433
27,203.06035137176514
28,204.47396874427795
29,201.90876269340515
30,203.0269751548767
31,201.50282502174377
32,202.9015235900879
33,202.10716009140015
34,205.54946851730347
35,201.40839385986328
36,202.68006539344788
37,200.10800051689148
38,203.70706939697266
39,200.92643928527832
40,203.55595326423645
41,201.16781187057495
42,206.6119499206543
43,201.79556274414062
44,205.0648317337036
45,202.86030316352844
46,203.06094074249268
47,206.22711610794067
48,202.04960656166077
49,201.9136266708374
