Simulation,elapsed_time
0,17.638811349868774
1,22.807260274887085
2,17.012197256088257
3,17.17637848854065
4,17.552819967269897
5,17.197628021240234
6,17.359673976898193
7,16.796084880828857
8,17.231287240982056
9,17.475138902664185
10,17.07570219039917
11,17.90554904937744
12,21.346089601516724
13,21.07582712173462
14,18.013079166412354
15,17.90178108215332
16,17.483343839645386
17,20.556206226348877
18,18.012643337249756
19,20.907503843307495
20,17.690026998519897
21,16.989535570144653
22,18.842260360717773
23,18.889400243759155
24,18.457199573516846
25,17.060728788375854
26,16.883744716644287
27,16.725566387176514
28,16.88062858581543
29,18.985633611679077
30,18.737647771835327
31,17.24527406692505
32,17.235671043395996
33,17.920640468597412
34,18.203439950942993
35,18.106539249420166
36,17.0551278591156
37,17.7136549949646
38,16.820660829544067
39,16.97569441795349
40,17.052966117858887
41,17.123789072036743
42,17.439810276031494
43,17.181993007659912
44,17.243834018707275
45,21.292112588882446
46,21.133525133132935
47,16.785852432250977
48,20.73773455619812
49,18.546546459197998
